planned_run,run_id,condition,feature_id,requested_ids,passed_ids,pass_percent
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-009,2,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-010,3,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-011,2,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-012,2,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-013,2,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-014,2,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-015,1,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-016,3,1,33.333333333333336
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-017,2,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-018,3,1,33.333333333333336
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-019,3,3,100.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-020,4,4,100.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-001,4,4,100.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-002,4,3,75.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-003,2,1,50.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-004,3,0,0.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-005,2,1,50.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-006,6,3,50.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-007,3,0,0.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-008,4,2,50.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-009,2,2,100.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-010,3,2,66.66666666666667
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-011,2,0,0.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-012,2,0,0.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-013,2,0,0.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-014,2,0,0.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-015,1,0,0.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-016,3,1,33.333333333333336
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-017,2,0,0.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-018,3,3,100.0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-019,3,2,66.66666666666667
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,F-020,4,2,50.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-001,4,4,100.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-002,4,3,75.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-003,2,0,0.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-004,3,0,0.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-005,2,2,100.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-006,6,3,50.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-007,3,3,100.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-008,4,2,50.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-009,2,1,50.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-010,3,2,66.66666666666667
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-011,2,0,0.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-012,2,0,0.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-013,2,0,0.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-014,2,0,0.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-015,1,0,0.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-016,3,2,66.66666666666667
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-017,2,2,100.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-018,3,3,100.0
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-019,3,2,66.66666666666667
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,F-020,4,2,50.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-001,4,4,100.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-002,4,2,50.0
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,F-003,2,2,100.0
