planned_run,run_id,condition,test_id,case_id,status
normal-006,bf51ba90-dc2c-4f70-85da-a9de5642d0a4,normal,T-006-05,lower,pass
normal-006,bf51ba90-dc2c-4f70-85da-a9de5642d0a4,normal,T-006-05,upper,pass
normal-007,09dbcec8-c9c3-49ec-921c-766894607e07,normal,T-006-01,main,pass
normal-007,09dbcec8-c9c3-49ec-921c-766894607e07,normal,T-006-02,main,pass
normal-007,09dbcec8-c9c3-49ec-921c-766894607e07,normal,T-006-03,main,pass
normal-007,09dbcec8-c9c3-49ec-921c-766894607e07,normal,T-006-04,main,pass
normal-007,09dbcec8-c9c3-49ec-921c-766894607e07,normal,T-006-05,lower,pass
normal-007,09dbcec8-c9c3-49ec-921c-766894607e07,normal,T-006-05,upper,pass
normal-008,cc1ad56e-0db0-4187-8d1d-9e89552abe92,normal,T-006-01,main,pass
normal-008,cc1ad56e-0db0-4187-8d1d-9e89552abe92,normal,T-006-02,main,pass
normal-008,cc1ad56e-0db0-4187-8d1d-9e89552abe92,normal,T-006-03,main,pass
normal-008,cc1ad56e-0db0-4187-8d1d-9e89552abe92,normal,T-006-04,main,pass
normal-008,cc1ad56e-0db0-4187-8d1d-9e89552abe92,normal,T-006-05,lower,pass
normal-008,cc1ad56e-0db0-4187-8d1d-9e89552abe92,normal,T-006-05,upper,pass
normal-009,b8bb85c7-e468-42ff-ad70-e10746737b87,normal,T-006-01,main,pass
normal-009,b8bb85c7-e468-42ff-ad70-e10746737b87,normal,T-006-02,main,pass
normal-009,b8bb85c7-e468-42ff-ad70-e10746737b87,normal,T-006-03,main,pass
normal-009,b8bb85c7-e468-42ff-ad70-e10746737b87,normal,T-006-04,main,pass
normal-009,b8bb85c7-e468-42ff-ad70-e10746737b87,normal,T-006-05,lower,pass
normal-009,b8bb85c7-e468-42ff-ad70-e10746737b87,normal,T-006-05,upper,pass
normal-010,ba9b31f3-7a29-4fad-ac2d-bba3bac61a0f,normal,T-006-01,main,pass
