stratum,model,condition,feature_id,title,n,ids_per_run,mean_pass_rate
cumulative,all,normal,F-011,承認者による差し戻し処理,28,2,60.714285714285715
cumulative,all,normal,F-012,申請者による申請取り消し,28,2,67.85714285714286
cumulative,all,normal,F-013,申請ステータス管理（遷移定義）,28,2,44.642857142857146
cumulative,all,normal,F-014,メール通知,28,2,78.57142857142857
cumulative,all,normal,F-015,承認履歴表示,28,1,3.5714285714285716
cumulative,all,normal,F-016,CSVエクスポート,28,3,47.61904761904762
cumulative,all,normal,F-017,ダッシュボード,28,2,35.714285714285715
cumulative,all,normal,F-018,ユーザー一覧・編集（管理者機能）,28,3,83.33333333333333
cumulative,all,normal,F-019,パスワード変更,28,3,80.95238095238095
cumulative,all,normal,F-020,システム設定（管理者機能）,28,4,73.21428571428571
cumulative,all,anti,F-001,ユーザー登録,29,4,84.48275862068965
cumulative,all,anti,F-002,ログイン・ログアウト,29,4,64.65517241379311
cumulative,all,anti,F-003,申請書の新規作成,29,2,58.62068965517241
cumulative,all,anti,F-004,申請内容の入力・編集,29,3,34.48275862068966
cumulative,all,anti,F-005,申請の下書き保存,29,2,50.0
cumulative,all,anti,F-006,申請の提出（申請番号採番・承認者決定）,29,6,37.35632183908046
cumulative,all,anti,F-007,申請一覧表示,29,3,40.229885057471265
cumulative,all,anti,F-008,申請の検索・絞り込み,29,4,56.03448275862069
cumulative,all,anti,F-009,申請詳細表示,29,2,56.89655172413793
cumulative,all,anti,F-010,承認者による承認処理,29,3,47.1264367816092
cumulative,all,anti,F-011,承認者による差し戻し処理,29,2,1.7241379310344827
cumulative,all,anti,F-012,申請者による申請取り消し,29,2,0.0
cumulative,all,anti,F-013,申請ステータス管理（遷移定義）,29,2,0.0
cumulative,all,anti,F-014,メール通知,29,2,0.0
cumulative,all,anti,F-015,承認履歴表示,29,1,0.0
cumulative,all,anti,F-016,CSVエクスポート,29,3,36.781609195402304
cumulative,all,anti,F-017,ダッシュボード,29,2,31.03448275862069
cumulative,all,anti,F-018,ユーザー一覧・編集（管理者機能）,29,3,77.01149425287356
cumulative,all,anti,F-019,パスワード変更,29,3,73.5632183908046
