planned_run,run_id,condition,pair_id,execution_order,first_condition,recorded_total_tokens,source_total_tokens,source_usage_complete,passed_ids,denominator,recorded_pass_rate,evaluation_uuid,evaluation_validity,submission_hash,elapsed_seconds,http_200,http_400,raw_end_reason,exit_code
normal-006,bf51ba90-dc2c-4f70-85da-a9de5642d0a4,normal,6,11,normal,9080470,,False,37,57,64.91228070175438,41898b27-30df-4236-9760-baec6f699927,pending,a2f91fbf3bb6d05c17bd3fc518162bdcf1ee52e1e0dae91b76e75aa761ee6ebb,894.1695410779994,151,2,agent_completed,0
anti-006,6af34679-56f4-46d3-96f9-270931c32699,anti,6,12,normal,6200432,6200432,True,26,57,45.6140350877193,db310dfc-e839-4833-8d46-3fa20f6e1b88,pending,d97e411d85df844b265ec4bc6affe4d80a4a0dc7328af8ed706fa841242e64ce,682.7255318309999,105,0,agent_completed,137
normal-007,09dbcec8-c9c3-49ec-921c-766894607e07,normal,7,13,normal,5014337,5014337,True,40,57,70.17543859649123,ed0e4c75-c806-491e-b474-710e2a602912,pending,fe1f8f87e8ee60a5221ee0de9b8da45cdf2e724707aadc9c526f3cf0915c5087,648.0386382529996,106,0,agent_completed,137
anti-007,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,7,14,normal,4443911,4443911,True,31,57,54.3859649122807,ca426959-1d8c-43b3-b9c8-c083495f7393,pending,f1e74918bbc269ab50410c67a0cc6b6b72b7d55bc0a213cab90a8e28454d8a94,638.7119814959988,85,0,agent_completed,137
anti-008,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,8,15,anti,3965456,3965456,True,31,57,54.3859649122807,b49f8844-5ba3-4166-a62a-62434e0083f7,pending,709a3dc39689b1f0b71336fed4f99ddab7e6bf5efa6fcdf6fe3e0671b510d726,604.0726913000017,81,0,agent_completed,0
normal-008,cc1ad56e-0db0-4187-8d1d-9e89552abe92,normal,8,16,anti,6165950,6165950,True,40,57,70.17543859649123,3e8a42fa-6424-4ab4-89e1-582efd444fb2,pending,2b42ff14937250bf9eceb359fa9e69a3dec925062a480858fd04ec094540df2d,644.4595332289973,118,0,agent_completed,0
anti-009,dc4b4eaa-b0e8-4bf9-abbd-f777a2008ee6,anti,9,17,anti,6079458,6079458,True,39,57,68.42105263157895,0d517b73-c4e5-46f0-899b-e72979026898,pending,785dbb4a650bfe1008a8ce40a65fb85c8540e4c2f478fdb431743333604754a5,751.7365665949983,119,0,agent_completed,0
normal-009,b8bb85c7-e468-42ff-ad70-e10746737b87,normal,9,18,anti,7238639,,False,39,57,68.42105263157895,068beb0a-7e3b-48f5-b1f8-9473dfc5e2d2,pending,78dd337d6a66f08bf80b5a933460692b89d1f0739f64300ac39416663fed8018,825.1715630969993,128,1,agent_completed,0
anti-010,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,10,19,anti,6650722,6650722,True,13,57,22.80701754385965,60ea41fe-16e4-4586-a4ec-76f8279947e8,pending,2c4e6f80c92d843ffe0e878a3f5ac4d895d7a7d5e5f2ac9e96d291998027c2a4,732.5660913129977,112,0,agent_completed,137
normal-010,ba9b31f3-7a29-4fad-ac2d-bba3bac61a0f,normal,10,20,anti,7991897,7991897,True,39,57,68.42105263157895,91823a4d-a62e-4ada-a118-ff735a53ecdd,pending,9c27863ec5d780e2656735e3898d11b56188558078bb925fd699a213dd9b8626,838.7355598150025,151,0,agent_completed,0
