run_id,evaluation_uuid,test_id,case_id,status,score_available
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-013-01,main,fail,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-013-02,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-014-01,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-014-02,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-015-01,main,fail,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-016-01,main,blocked,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-016-02,main,blocked,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-016-03,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-017-01,main,fail,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-017-02,main,blocked,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-018-01,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-018-02,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-018-03,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-019-01,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-019-02,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-019-03,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-020-01,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-020-02,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-020-03,main,pass,True
09dbcec8-c9c3-49ec-921c-766894607e07,ed0e4c75-c806-491e-b474-710e2a602912,T-020-04,main,pass,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-001-01,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-001-02,main,fail,True
11440dd4-c70f-466e-b37a-96376727430e,5a74c522-9727-460f-b330-b0b9674ddcab,T-001-03,main,fail,True
