label,run_id,condition,model_id,recorded_total_tokens,source_total_tokens,source_usage_complete,evaluation_outcome,evaluation_validity,effective_quality,evaluation_uuid,submission_hash,raw_end_reason,exit_code,elapsed_seconds,completion_declaration_captured,static_threshold_yen,recorded_threshold_yen,explicit_conflict_recorded,business_assertion_reached,prerequisite_blocked,evaluation_unresolved,reachability_unknown,recorded_input_tokens,recorded_output_tokens,recorded_cached_input_tokens,usage_requests,cached_detail_requests,http_200,http_400,http_429,http_503,score_available,passed_ids,pass_rate,source_passed_ids,source_failed_cases,source_blocked_cases,tokens_per_recorded_request
A-6af346,6af34679-56f4-46d3-96f9-270931c32699,anti,muse-spark-1.2-contributor,6200432,6200432,True,completed,pending,,db310dfc-e839-4833-8d46-3fa20f6e1b88,d97e411d85df844b265ec4bc6affe4d80a4a0dc7328af8ed706fa841242e64ce,agent_completed,137,682.7255318309999,True,500000,500000,True,38,8,20,0,6148714,51718,6043112,105,105,105,0,0,0,True,26,45.6140350877193,26,23,8,59051.73333333333
N-71ff89,71ff896b-3c40-4903-a819-e4d5aa98f11b,normal,muse-spark-1.2-contributor,4651992,4651992,True,completed,pending,,fb4f0baf-93d5-4de2-8e4a-39c940f963f7,907abc7c0bfe93ae3a346e2cda2f13e882c2b87fde5d2815440b172f8bbb00f5,agent_completed,0,550.5846395369999,True,1000000,1000000,False,55,0,3,0,4609660,42332,4522065,98,98,98,0,0,0,True,47,82.45614035087719,47,10,0,47469.30612244898
N-724b28,724b281a-c3d0-43a8-85df-6e8df56845e7,normal,muse-spark-1.2-contributor,7878575,7878575,True,completed,pending,,cc5921d1-a29b-4d50-80c3-7e4856f46ac0,c5dc4dc6aaaa48e1ef3786024838d1dd4a3bd110a6a180b4dee0de7dd5012cc0,agent_completed,0,726.9645889079993,False,1000000,,False,0,53,58,0,7826435,52140,7723152,145,145,145,0,0,0,True,0,0.0,0,5,53,54335.0
A-740a2f,740a2f8e-7509-4915-880d-a21086bffe9a,anti,muse-spark-1.2-contributor,5773485,5773485,True,completed,pending,,a9c087e4-565a-4e61-8352-a86fb3594ed0,3d12405ef2e01348d8164a294173796fefe91dcbf0beca34bbd60154f2d79486,agent_completed,137,645.8996580180001,True,500000,500000,True,43,3,12,0,5727037,46448,5636201,122,122,122,0,0,0,True,24,42.10526315789474,24,30,3,47323.647540983606
A-76cac0,76cac053-f623-45d1-96ff-c77edf4a0bee,anti,muse-spark-1.2-contributor,4443911,4443911,True,completed,pending,,ca426959-1d8c-43b3-b9c8-c083495f7393,f1e74918bbc269ab50410c67a0cc6b6b72b7d55bc0a213cab90a8e28454d8a94,agent_completed,137,638.7119814959988,True,500000,500000,True,44,0,14,0,4393308,50603,4289812,85,85,85,0,0,0,True,31,54.3859649122807,31,26,0,52281.30588235294
N-7cce7b,7cce7b2d-1ee9-410e-a216-da48d74b3f23,normal,muse-spark-1.2-contributor,4975149,4975149,True,completed,pending,,00228dd0-e23b-41fa-9916-b99f1355b824,68d2d139ab91936c33e9fdcbc737da5c7d48111b54088fea9c921ef9c4e45642,agent_completed,137,603.8925859059998,True,1000000,1000000,False,52,0,6,0,4927735,47414,4830666,107,107,107,0,0,0,True,46,80.70175438596492,46,11,0,46496.719626168226
A-7e5974,7e5974e1-e419-4e9d-96f3-332c91617c78,anti,muse-spark-1.2-contributor,6650722,6650722,True,completed,pending,,60ea41fe-16e4-4586-a4ec-76f8279947e8,2c4e6f80c92d843ffe0e878a3f5ac4d895d7a7d5e5f2ac9e96d291998027c2a4,agent_completed,137,732.5660913129977,True,500000,500000,True,18,9,40,0,6597494,53228,6490623,112,112,112,0,0,0,True,13,22.80701754385965,13,36,9,59381.44642857143
N-833a4f,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,muse-spark-1.2-contributor,7165382,7165382,True,completed,pending,,7d42fdd0-7a68-4b11-bfe3-a1f1a5fb3b46,8856d45fdda3dc43ccc923b1bbb8a2b7f6654c0c4b9ca08dcacda95425633fac,agent_completed,0,653.6502480969993,False,1000000,1000000,False,54,0,4,0,7116667,48715,7015620,133,133,133,0,0,0,True,42,73.6842105263158,42,15,0,53875.05263157895
A-8521b6,8521b60c-d58e-4f17-8cd0-75cf45d82d8b,anti,muse-spark-1.2-contributor,4984487,4984487,True,completed,pending,,07419fd9-a581-4df9-b7a4-005c1e8fe645,608613d705148b839dce1d14ef1e5a1ce99944b9bbd7d25006a8179fc2aad68f,agent_completed,0,576.054134553,True,500000,500000,True,6,54,0,0,4938577,45910,4836335,96,96,96,0,0,0,True,3,5.2631578947368425,3,1,54,51921.739583333336
N-8562d6,8562d613-be4e-4350-9e8d-8ac02a644845,normal,muse-spark-1.2-contributor,8838558,8838558,True,completed,pending,,829cf941-f2d4-4cab-9845-afc996955c21,9244c77e6c2344e0f31907ebb6e6ebf7612a0d11b2a206277d184a2ebadc3f1b,agent_completed,137,953.5525990059996,True,1000000,,False,53,0,6,0,8784058,54500,8517679,162,162,162,0,0,0,True,40,70.17543859649123,40,17,0,54559.0
A-8685c6,8685c69d-7825-4148-9052-9543c7ede4fc,anti,muse-spark-1.2-contributor,9566667,9566667,True,server_unavailable,pending,,7872a0f5-9ab2-4e4e-8f2d-8d5b6be0b51b,e2db04257ac023117baba046d88299f3aa394bd4d937cfc8e679153f8e9fd7ef,agent_completed,137,1513.8398115610003,True,500000,500000,True,0,0,0,58,9500357,66310,9381552,177,177,177,0,0,0,False,,,0,0,58,54048.96610169492
A-87a272,87a2727c-dec6-49d9-a03b-cd33351c7f48,anti,muse-spark-1.2-contributor,7365900,7365900,True,completed,pending,,07ab9268-3217-4612-b237-0cb306a1093b,831ac9b3b51f2332fbc2f29109030c2bf1522926614ac940c5154df45d92a9eb,agent_completed,0,710.4814085999997,False,500000,500000,True,44,6,14,0,7315096,50804,7209585,130,130,130,0,0,0,True,34,59.64912280701754,34,17,6,56660.769230769234
